time,price,funding,action,order_usd,btc_position,total_cost_usd,avg_entry_price,market_value_usd,unrealized_pnl_usd
2026-03-08 04:08:18.278145,67040.0,1.2797e-06,buy,25.0,0.00037291,25.0,67040.0,25.0,0.0
2026-03-08 04:55:18.676643,66555.0,3.5922e-06,buy,25.0,0.00037563,25.0,66555.0,25.0,0.0
2026-03-08 05:00:18.979646,66609.0,3.8858e-06,buy,25.0,0.00075095,50.0,66581.99,50.02,0.02
2026-03-08 06:22:32.360286,67086.0,-2.054e-07,buy,25.0,0.00037266,25.0,67086.0,25.0,0.0
2026-03-08 06:27:42.735394,67073.0,-3.987e-07,buy,25.0,0.00037273,25.0,67073.0,25.0,0.0
2026-03-08 06:28:35.986352,67060.0,-5.48e-07,buy,40.0,0.00096921,65.0,67065.0,65.0,-0.0
2026-03-08 06:33:36.303009,67048.0,-1.4484e-06,buy,40.0,0.0015658,105.0,67058.52,104.98,-0.02
2026-03-08 06:38:36.703086,67059.0,-1.5353e-06,buy,40.0,0.00216229,145.0,67058.65,145.0,0.0
2026-03-08 06:43:37.070148,67102.0,-9.928e-07,buy,40.0,0.00275839,185.0,67068.02,185.09,0.09
2026-03-08 06:48:37.501059,67112.0,-1.227e-07,skip,0.0,0.00275839,185.0,67068.02,185.12,0.12
2026-03-08 06:53:37.808476,67088.0,4.692e-07,skip,0.0,0.00275839,185.0,67068.02,185.06,0.06
2026-03-08 06:58:38.070624,67173.0,5.477e-07,skip,0.0,0.00275839,185.0,67068.02,185.29,0.29
2026-03-08 07:03:39.268107,67164.0,1.12169e-05,skip,0.0,0.00275839,185.0,67068.02,185.26,0.26
2026-03-08 07:08:39.600667,67315.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,185.68,0.68
2026-03-08 07:13:40.047558,67332.0,1.14939e-05,skip,0.0,0.00275839,185.0,67068.02,185.73,0.73
2026-03-08 07:18:40.475951,67342.0,1.13266e-05,skip,0.0,0.00275839,185.0,67068.02,185.76,0.76
2026-03-08 07:23:40.847146,67304.0,1.13983e-05,skip,0.0,0.00275839,185.0,67068.02,185.65,0.65
2026-03-08 07:28:41.276619,67259.0,9.9929e-06,skip,0.0,0.00275839,185.0,67068.02,185.53,0.53
2026-03-08 07:33:41.618963,67313.0,8.2401e-06,skip,0.0,0.00275839,185.0,67068.02,185.68,0.68
2026-03-08 07:38:42.684292,67299.0,7.358e-06,skip,0.0,0.00275839,185.0,67068.02,185.64,0.64
2026-03-08 07:43:43.063780,67295.0,6.6148e-06,skip,0.0,0.00275839,185.0,67068.02,185.63,0.63
2026-03-08 07:48:43.427594,67250.0,6.398e-06,skip,0.0,0.00275839,185.0,67068.02,185.5,0.5
2026-03-08 07:53:43.728022,67254.0,6.3199e-06,skip,0.0,0.00275839,185.0,67068.02,185.51,0.51
2026-03-08 07:58:44.121313,67247.0,6.0867e-06,skip,0.0,0.00275839,185.0,67068.02,185.49,0.49
2026-03-08 08:03:44.510223,67261.0,8.7585e-06,skip,0.0,0.00275839,185.0,67068.02,185.53,0.53
2026-03-08 08:08:44.815493,67286.0,6.9736e-06,skip,0.0,0.00275839,185.0,67068.02,185.6,0.6
2026-03-08 08:13:45.075795,67291.0,5.8687e-06,skip,0.0,0.00275839,185.0,67068.02,185.62,0.62
2026-03-08 08:18:45.465955,67143.0,5.8748e-06,skip,0.0,0.00275839,185.0,67068.02,185.21,0.21
2026-03-08 08:23:45.722859,67217.0,5.2377e-06,skip,0.0,0.00275839,185.0,67068.02,185.41,0.41
2026-03-08 08:28:45.973909,67243.0,4.3511e-06,skip,0.0,0.00275839,185.0,67068.02,185.48,0.48
2026-03-08 08:33:46.339228,67194.0,3.7542e-06,skip,0.0,0.00275839,185.0,67068.02,185.35,0.35
2026-03-08 08:38:46.859570,67269.0,3.3313e-06,skip,0.0,0.00275839,185.0,67068.02,185.55,0.55
2026-03-08 08:43:47.172244,67420.0,4.1811e-06,skip,0.0,0.00275839,185.0,67068.02,185.97,0.97
2026-03-08 08:48:47.537006,67458.0,5.0563e-06,skip,0.0,0.00275839,185.0,67068.02,186.08,1.08
2026-03-08 08:53:47.913770,67470.0,5.4378e-06,skip,0.0,0.00275839,185.0,67068.02,186.11,1.11
2026-03-08 08:58:48.364438,67511.0,5.839e-06,skip,0.0,0.00275839,185.0,67068.02,186.22,1.22
2026-03-08 09:03:48.826084,67450.0,9.3522e-06,skip,0.0,0.00275839,185.0,67068.02,186.05,1.05
2026-03-08 09:08:49.242407,67479.0,6.9772e-06,skip,0.0,0.00275839,185.0,67068.02,186.13,1.13
2026-03-08 09:13:49.632789,67601.0,7.8188e-06,skip,0.0,0.00275839,185.0,67068.02,186.47,1.47
2026-03-08 09:18:50.028058,67770.0,8.6877e-06,skip,0.0,0.00275839,185.0,67068.02,186.94,1.94
2026-03-08 09:23:50.425537,67729.0,1.17446e-05,skip,0.0,0.00275839,185.0,67068.02,186.82,1.82
2026-03-08 09:28:50.753141,67799.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,187.02,2.02
2026-03-08 09:33:51.082880,67734.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.84,1.84
2026-03-08 09:38:51.331332,67709.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.77,1.77
2026-03-08 09:43:51.663834,67722.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.8,1.8
2026-03-08 09:48:52.075422,67696.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.73,1.73
2026-03-08 09:53:52.463454,67679.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.69,1.69
2026-03-08 09:58:52.835163,67708.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.77,1.77
2026-03-08 10:03:53.125902,67772.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.94,1.94
2026-03-08 10:08:54.060864,67778.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,186.96,1.96
2026-03-08 10:13:54.437401,67838.0,1.25e-05,skip,0.0,0.00275839,185.0,67068.02,187.12,2.12
2026-03-08 10:18:54.810286,67883.0,1.21383e-05,skip,0.0,0.00275839,185.0,67068.02,187.25,2.25
2026-03-08 10:23:55.172268,67989.0,1.16346e-05,skip,0.0,0.00275839,185.0,67068.02,187.54,2.54
2026-03-08 10:28:55.553087,68037.0,1.08528e-05,skip,0.0,0.00275839,185.0,67068.02,187.67,2.67
2026-03-08 10:33:55.936106,67970.0,1.14511e-05,skip,0.0,0.00275839,185.0,67068.02,187.49,2.49
2026-03-08 10:38:56.324558,67923.0,1.04562e-05,skip,0.0,0.00275839,185.0,67068.02,187.36,2.36
2026-03-08 10:43:56.705612,67908.0,8.5553e-06,skip,0.0,0.00275839,185.0,67068.02,187.32,2.32
2026-03-08 10:48:57.086684,67892.0,6.0587e-06,skip,0.0,0.00275839,185.0,67068.02,187.27,2.27
2026-03-08 10:53:57.402852,67868.0,3.532e-06,skip,0.0,0.00275839,185.0,67068.02,187.21,2.21
2026-03-08 10:58:57.783866,67850.0,2.3913e-06,skip,0.0,0.00275839,185.0,67068.02,187.16,2.16
2026-03-08 11:03:58.087392,67752.0,-8.7075e-06,skip,0.0,0.00275839,185.0,67068.02,186.89,1.89
2026-03-08 11:08:59.080962,67549.0,-7.9636e-06,skip,0.0,0.00275839,185.0,67068.02,186.33,1.33
2026-03-08 11:13:59.637793,67577.0,-6.5899e-06,skip,0.0,0.00275839,185.0,67068.02,186.4,1.4
2026-03-08 11:19:00.637920,67594.0,-8.0335e-06,skip,0.0,0.00275839,185.0,67068.02,186.45,1.45
2026-03-08 11:24:01.048439,67657.0,-7.1675e-06,skip,0.0,0.00275839,185.0,67068.02,186.62,1.62
2026-03-08 11:29:01.290068,67664.0,-6.8246e-06,skip,0.0,0.00275839,185.0,67068.02,186.64,1.64
2026-03-08 11:34:01.564011,67688.0,-8.3008e-06,skip,0.0,0.00275839,185.0,67068.02,186.71,1.71
2026-03-08 11:39:02.522398,67502.0,-8.6279e-06,skip,0.0,0.00275839,185.0,67068.02,186.2,1.2
2026-03-08 11:44:02.823950,67471.0,-8.0292e-06,skip,0.0,0.00275839,185.0,67068.02,186.11,1.11
2026-03-08 11:49:03.164581,67480.0,-7.7145e-06,skip,0.0,0.00275839,185.0,67068.02,186.14,1.14
2026-03-08 11:54:03.612219,67494.0,-7.4964e-06,skip,0.0,0.00275839,185.0,67068.02,186.18,1.18
2026-03-08 11:59:03.891995,67495.0,-7.064e-06,skip,0.0,0.00275839,185.0,67068.02,186.18,1.18
2026-03-08 12:04:04.273821,67570.0,2.432e-07,skip,0.0,0.00275839,185.0,67068.02,186.38,1.38
2026-03-08 12:09:04.544561,67410.0,-3.9268e-06,skip,0.0,0.00275839,185.0,67068.02,185.94,0.94
2026-03-08 12:14:04.928120,67093.0,-6.3872e-06,skip,0.0,0.00275839,185.0,67068.02,185.07,0.07
2026-03-08 12:19:05.281087,67118.0,-5.6507e-06,skip,0.0,0.00275839,185.0,67068.02,185.14,0.14
2026-03-08 12:24:05.588755,67275.0,-4.4976e-06,skip,0.0,0.00275839,185.0,67068.02,185.57,0.57
2026-03-08 12:29:05.968708,67355.0,-4.1124e-06,skip,0.0,0.00275839,185.0,67068.02,185.79,0.79
2026-03-08 12:34:06.275939,67296.0,-4.3862e-06,skip,0.0,0.00275839,185.0,67068.02,185.63,0.63
2026-03-08 12:39:06.797775,67312.0,-4.6577e-06,skip,0.0,0.00275839,185.0,67068.02,185.67,0.67
2026-03-08 12:44:07.247227,67358.0,-4.3713e-06,skip,0.0,0.00275839,185.0,67068.02,185.8,0.8
2026-03-08 12:49:07.488855,67276.0,-3.9959e-06,skip,0.0,0.00275839,185.0,67068.02,185.57,0.57
2026-03-08 12:54:07.920147,67312.0,-3.4501e-06,skip,0.0,0.00275839,185.0,67068.02,185.67,0.67
2026-03-08 12:59:08.299608,67290.0,-2.7263e-06,skip,0.0,0.00275839,185.0,67068.02,185.61,0.61
2026-03-08 13:04:08.715922,67300.0,5.2687e-06,skip,0.0,0.00275839,185.0,67068.02,185.64,0.64
2026-03-08 13:09:09.063431,67213.0,3.6532e-06,skip,0.0,0.00275839,185.0,67068.02,185.4,0.4
2026-03-08 13:14:09.400021,67010.0,1.4422e-06,skip,0.0,0.00275839,185.0,67068.02,184.84,-0.16
2026-03-08 13:19:09.676708,67057.0,1.2762e-06,skip,0.0,0.00275839,185.0,67068.02,184.97,-0.03
2026-03-08 13:24:09.992053,67017.0,5.867e-07,skip,0.0,0.00275839,185.0,67068.02,184.86,-0.14
2026-03-08 13:29:10.365562,67129.0,5.444e-07,skip,0.0,0.00275839,185.0,67068.02,185.17,0.17
2026-03-08 13:34:10.743716,66980.0,-4.131e-07,skip,0.0,0.00275839,185.0,67068.02,184.76,-0.24
2026-03-08 13:39:11.389595,67052.0,-2.891e-07,skip,0.0,0.00275839,185.0,67068.02,184.96,-0.04
2026-03-08 13:44:11.778870,67010.0,1.043e-07,skip,0.0,0.00275839,185.0,67068.02,184.84,-0.16
2026-03-08 13:49:12.170142,67116.0,6.581e-07,skip,0.0,0.00275839,185.0,67068.02,185.13,0.13
2026-03-08 13:54:12.541882,67137.0,7.092e-07,skip,0.0,0.00275839,185.0,67068.02,185.19,0.19
2026-03-08 13:59:12.954938,67223.0,8.279e-07,skip,0.0,0.00275839,185.0,67068.02,185.43,0.43
2026-03-08 14:04:13.311459,67221.0,1.7704e-06,skip,0.0,0.00275839,185.0,67068.02,185.42,0.42
2026-03-08 14:09:14.428012,67230.0,1.3096e-06,skip,0.0,0.00275839,185.0,67068.02,185.45,0.45
2026-03-08 14:14:14.753615,67269.0,9.094e-07,skip,0.0,0.00275839,185.0,67068.02,185.55,0.55
2026-03-08 14:19:15.067382,67310.0,2.9554e-06,skip,0.0,0.00275839,185.0,67068.02,185.67,0.67
2026-03-08 14:24:15.446621,67308.0,2.9879e-06,skip,0.0,0.00275839,185.0,67068.02,185.66,0.66
2026-03-08 14:29:15.833796,67229.0,2.8079e-06,skip,0.0,0.00275839,185.0,67068.02,185.44,0.44
2026-03-08 14:34:16.207488,67288.0,2.4501e-06,skip,0.0,0.00275839,185.0,67068.02,185.61,0.61
2026-03-08 14:39:16.671708,67266.0,2.9562e-06,skip,0.0,0.00275839,185.0,67068.02,185.55,0.55
2026-03-08 14:44:16.910843,67062.0,2.1658e-06,skip,0.0,0.00275839,185.0,67068.02,184.98,-0.02
2026-03-08 14:49:17.290349,67122.0,1.2311e-06,skip,0.0,0.00275839,185.0,67068.02,185.15,0.15
2026-03-08 14:54:17.702424,67274.0,7.585e-07,skip,0.0,0.00275839,185.0,67068.02,185.57,0.57
2026-03-08 14:59:18.100777,67260.0,3.091e-07,skip,0.0,0.00275839,185.0,67068.02,185.53,0.53
2026-03-08 15:04:18.407715,67226.0,-4.3065e-06,skip,0.0,0.00275839,185.0,67068.02,185.44,0.44
